subject,difficulty,condition,date,sa,ratio
sr,3,binocular,2016-07-26_12-35-23-PM.csv,600,0.9896907216494846
sr,1,binocular,2016-07-26_12-35-23-PM.csv,400,1.0
sr,2,binocular,2016-07-26_12-35-23-PM.csv,400,0.8837209302325582
sr,3,binocular,2016-07-26_12-35-23-PM.csv,400,0.9545454545454546
sr,1,binocular,2016-07-27_09-08-26-AM.csv,1000,nan
sr,2,binocular,2016-07-27_09-08-26-AM.csv,1000,nan
sr,3,binocular,2016-07-27_09-08-26-AM.csv,1000,nan
sr,1,binocular,2016-07-27_09-08-26-AM.csv,800,1.0
sr,2,binocular,2016-07-27_09-08-26-AM.csv,800,1.0
sr,3,binocular,2016-07-27_09-08-26-AM.csv,800,0.9896907216494846
sr,1,binocular,2016-07-27_09-08-26-AM.csv,600,0.9896907216494846
sr,2,binocular,2016-07-27_09-08-26-AM.csv,600,0.9896907216494846
sr,3,binocular,2016-07-27_09-08-26-AM.csv,600,1.0
sr,1,binocular,2016-07-27_09-08-26-AM.csv,400,0.9696969696969697
sr,2,binocular,2016-07-27_09-08-26-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-07-27_09-08-26-AM.csv,400,0.9696969696969697
sr,1,binocular,2016-07-27_09-36-08-AM.csv,1000,nan
sr,2,binocular,2016-07-27_09-36-08-AM.csv,1000,nan
sr,3,binocular,2016-07-27_09-36-08-AM.csv,1000,nan
sr,1,binocular,2016-07-27_09-36-08-AM.csv,800,1.0
sr,2,binocular,2016-07-27_09-36-08-AM.csv,800,1.0
sr,3,binocular,2016-07-27_09-36-08-AM.csv,800,1.0
sr,1,binocular,2016-07-27_09-36-08-AM.csv,600,0.9896907216494846
sr,2,binocular,2016-07-27_09-36-08-AM.csv,600,1.0
sr,3,binocular,2016-07-27_09-36-08-AM.csv,600,0.9795918367346939
sr,1,binocular,2016-07-27_09-36-08-AM.csv,400,1.0
sr,2,binocular,2016-07-27_09-36-08-AM.csv,400,0.9896907216494846
sr,3,binocular,2016-07-27_09-36-08-AM.csv,400,1.0
sr,1,binocular,2016-07-28_09-48-52-AM.csv,1000,nan
sr,2,binocular,2016-07-28_09-48-52-AM.csv,1000,nan
sr,3,binocular,2016-07-28_09-48-52-AM.csv,1000,nan
sr,1,binocular,2016-07-28_09-48-52-AM.csv,800,1.0
sr,2,binocular,2016-07-28_09-48-52-AM.csv,800,1.0
sr,3,binocular,2016-07-28_09-48-52-AM.csv,800,1.0
sr,1,binocular,2016-07-28_09-48-52-AM.csv,600,0.9795918367346939
sr,2,binocular,2016-07-28_09-48-52-AM.csv,600,1.0
sr,3,binocular,2016-07-28_09-48-52-AM.csv,600,1.0
sr,1,binocular,2016-07-28_09-48-52-AM.csv,400,0.9696969696969697
sr,2,binocular,2016-07-28_09-48-52-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-07-28_09-48-52-AM.csv,400,0.9896907216494846
sr,1,binocular,2016-07-28_10-16-26-AM.csv,1000,nan
sr,2,binocular,2016-07-28_10-16-26-AM.csv,1000,nan
sr,3,binocular,2016-07-28_10-16-26-AM.csv,1000,nan
sr,1,binocular,2016-07-28_10-16-26-AM.csv,800,1.0
sr,2,binocular,2016-07-28_10-16-26-AM.csv,800,1.0
sr,3,binocular,2016-07-28_10-16-26-AM.csv,800,1.0
sr,1,binocular,2016-07-28_10-16-26-AM.csv,600,1.0
sr,2,binocular,2016-07-28_10-16-26-AM.csv,600,0.9896907216494846
sr,3,binocular,2016-07-28_10-16-26-AM.csv,600,1.0
sr,1,binocular,2016-07-28_10-16-26-AM.csv,400,0.9896907216494846
sr,2,binocular,2016-07-28_10-16-26-AM.csv,400,0.9795918367346939
sr,3,binocular,2016-07-28_10-16-26-AM.csv,400,0.9795918367346939
sr,1,binocular,2016-07-29_10-40-02-AM.csv,1000,nan
sr,2,binocular,2016-07-29_10-40-02-AM.csv,1000,nan
sr,3,binocular,2016-07-29_10-40-02-AM.csv,1000,nan
sr,1,binocular,2016-07-29_10-40-02-AM.csv,800,1.0
sr,2,binocular,2016-07-29_10-40-02-AM.csv,800,1.0
sr,3,binocular,2016-07-29_10-40-02-AM.csv,800,1.0
sr,1,binocular,2016-07-29_10-40-02-AM.csv,600,1.0
sr,2,binocular,2016-07-29_10-40-02-AM.csv,600,0.9896907216494846
sr,3,binocular,2016-07-29_10-40-02-AM.csv,600,0.9696969696969697
sr,1,binocular,2016-07-29_10-40-02-AM.csv,400,1.0
sr,2,binocular,2016-07-29_10-40-02-AM.csv,400,0.9696969696969697
sr,3,binocular,2016-07-29_10-40-02-AM.csv,400,1.0
sr,1,binocular,2016-07-29_11-07-54-AM.csv,1000,nan
sr,2,binocular,2016-07-29_11-07-54-AM.csv,1000,nan
sr,3,binocular,2016-07-29_11-07-54-AM.csv,1000,nan
sr,1,binocular,2016-07-29_11-07-54-AM.csv,800,1.0
sr,2,binocular,2016-07-29_11-07-54-AM.csv,800,1.0
sr,3,binocular,2016-07-29_11-07-54-AM.csv,800,1.0
sr,1,binocular,2016-07-29_11-07-54-AM.csv,600,1.0
sr,2,binocular,2016-07-29_11-07-54-AM.csv,600,0.9896907216494846
sr,3,binocular,2016-07-29_11-07-54-AM.csv,600,0.9896907216494846
sr,1,binocular,2016-07-29_11-07-54-AM.csv,400,1.0
sr,2,binocular,2016-07-29_11-07-54-AM.csv,400,0.9896907216494846
sr,3,binocular,2016-07-29_11-07-54-AM.csv,400,0.9896907216494846
sr,1,binocular,2016-08-01_10-33-27-AM.csv,1000,nan
sr,2,binocular,2016-08-01_10-33-27-AM.csv,1000,nan
sr,3,binocular,2016-08-01_10-33-27-AM.csv,1000,nan
sr,1,binocular,2016-08-01_10-33-27-AM.csv,800,1.0
sr,2,binocular,2016-08-01_10-33-27-AM.csv,800,1.0
sr,3,binocular,2016-08-01_10-33-27-AM.csv,800,1.0
sr,1,binocular,2016-08-01_10-33-27-AM.csv,600,1.0
sr,2,binocular,2016-08-01_10-33-27-AM.csv,600,1.0
sr,3,binocular,2016-08-01_10-33-27-AM.csv,600,1.0
sr,1,binocular,2016-08-01_10-33-27-AM.csv,400,0.9896907216494846
sr,2,binocular,2016-08-01_10-33-27-AM.csv,400,0.9896907216494846
