subject,difficulty,condition,date,sa,ratio
sr,1,binocular,2016-07-25_10-43-10-AM.csv,1000,1.0
sr,2,binocular,2016-07-25_10-43-10-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-25_10-43-10-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-25_10-43-10-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-25_10-43-10-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-25_10-43-10-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-25_10-43-10-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-25_10-43-10-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-25_10-43-10-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-25_10-43-10-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-25_10-43-10-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-25_10-43-10-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-25_11-10-47-AM.csv,1000,1.0
sr,2,binocular,2016-07-25_11-10-47-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-25_11-10-47-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-25_11-10-47-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-25_11-10-47-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-25_11-10-47-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-25_11-10-47-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-25_11-10-47-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-25_11-10-47-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-25_11-10-47-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-25_11-10-47-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-25_11-10-47-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-26_01-03-31-PM.csv,1000,1.0
sr,2,binocular,2016-07-26_01-03-31-PM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-26_01-03-31-PM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-26_01-03-31-PM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-26_01-03-31-PM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-26_01-03-31-PM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-26_01-03-31-PM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-26_01-03-31-PM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-26_01-03-31-PM.csv,600,0.990228013029316
sr,1,binocular,2016-07-26_01-03-31-PM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-26_01-03-31-PM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-26_01-03-31-PM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-26_12-35-23-PM.csv,1000,1.0
sr,2,binocular,2016-07-26_12-35-23-PM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-26_12-35-23-PM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-26_12-35-23-PM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-26_12-35-23-PM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-26_12-35-23-PM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-26_12-35-23-PM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-26_12-35-23-PM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-26_12-35-23-PM.csv,600,0.990228013029316
sr,1,binocular,2016-07-26_12-35-23-PM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-26_12-35-23-PM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-26_12-35-23-PM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-27_09-08-26-AM.csv,1000,1.0
sr,2,binocular,2016-07-27_09-08-26-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-27_09-08-26-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-27_09-08-26-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-27_09-08-26-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-27_09-08-26-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-27_09-08-26-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-27_09-08-26-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-27_09-08-26-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-27_09-08-26-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-27_09-08-26-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-27_09-08-26-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-27_09-36-08-AM.csv,1000,1.0
sr,2,binocular,2016-07-27_09-36-08-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-27_09-36-08-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-27_09-36-08-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-27_09-36-08-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-27_09-36-08-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-27_09-36-08-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-27_09-36-08-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-27_09-36-08-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-27_09-36-08-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-27_09-36-08-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-27_09-36-08-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-28_09-48-52-AM.csv,1000,1.0
sr,2,binocular,2016-07-28_09-48-52-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-28_09-48-52-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-28_09-48-52-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-28_09-48-52-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-28_09-48-52-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-28_09-48-52-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-28_09-48-52-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-28_09-48-52-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-28_09-48-52-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-28_09-48-52-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-28_09-48-52-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-28_10-16-26-AM.csv,1000,1.0
sr,2,binocular,2016-07-28_10-16-26-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-28_10-16-26-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-28_10-16-26-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-28_10-16-26-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-28_10-16-26-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-28_10-16-26-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-28_10-16-26-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-28_10-16-26-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-28_10-16-26-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-28_10-16-26-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-28_10-16-26-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-29_10-40-02-AM.csv,1000,1.0
sr,2,binocular,2016-07-29_10-40-02-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-29_10-40-02-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-29_10-40-02-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-29_10-40-02-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-29_10-40-02-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-29_10-40-02-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-29_10-40-02-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-29_10-40-02-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-29_10-40-02-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-29_10-40-02-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-29_10-40-02-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-07-29_11-07-54-AM.csv,1000,1.0
sr,2,binocular,2016-07-29_11-07-54-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-07-29_11-07-54-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-07-29_11-07-54-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-07-29_11-07-54-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-07-29_11-07-54-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-07-29_11-07-54-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-07-29_11-07-54-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-07-29_11-07-54-AM.csv,600,0.990228013029316
sr,1,binocular,2016-07-29_11-07-54-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-07-29_11-07-54-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-07-29_11-07-54-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-08-01_10-33-27-AM.csv,1000,1.0
sr,2,binocular,2016-08-01_10-33-27-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-08-01_10-33-27-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-08-01_10-33-27-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-08-01_10-33-27-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-08-01_10-33-27-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-08-01_10-33-27-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-08-01_10-33-27-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-08-01_10-33-27-AM.csv,600,0.990228013029316
sr,1,binocular,2016-08-01_10-33-27-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-08-01_10-33-27-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-08-01_10-33-27-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-08-01_11-01-38-AM.csv,1000,1.0
sr,2,binocular,2016-08-01_11-01-38-AM.csv,1000,0.9966965549787635
sr,3,binocular,2016-08-01_11-01-38-AM.csv,1000,0.993414863593603
sr,1,binocular,2016-08-01_11-01-38-AM.csv,800,0.9986301369863013
sr,2,binocular,2016-08-01_11-01-38-AM.csv,800,0.9942763695829926
sr,3,binocular,2016-08-01_11-01-38-AM.csv,800,0.9902253597610643
sr,1,binocular,2016-08-01_11-01-38-AM.csv,600,0.9967204154140475
sr,2,binocular,2016-08-01_11-01-38-AM.csv,600,0.9921131357084579
sr,3,binocular,2016-08-01_11-01-38-AM.csv,600,0.990228013029316
sr,1,binocular,2016-08-01_11-01-38-AM.csv,400,0.9864188706218727
sr,2,binocular,2016-08-01_11-01-38-AM.csv,400,0.9751844399731724
sr,3,binocular,2016-08-01_11-01-38-AM.csv,400,0.9782535965205754
sr,1,binocular,2016-08-02_12-30-17-PM.csv,1000,1.0
sr,2,binocular,2016-08-02_12-30-17-PM.csv,1000,0.9966965549787635
sr,3,binocular,2016-08-02_12-30-17-PM.csv,1000,0.993414863593603
sr,1,binocular,2016-08-02_12-30-17-PM.csv,800,0.9986301369863013
sr,2,binocular,2016-08-02_12-30-17-PM.csv,800,0.9942763695829926
sr,3,binocular,2016-08-02_12-30-17-PM.csv,800,0.9902253597610643
sr,1,binocular,2016-08-02_12-30-17-PM.csv,600,0.9967204154140475
sr,2,binocular,2016-08-02_12-30-17-PM.csv,600,0.9921131357084579
