Difficulty,SA[seconds] dart location,hit,SA[seconds] dartboard hit,gapAngle[degrees],distance[m],dichoptic errors,head Hor Mean,head Hor SD,head Ver Mean,head Ver SD,head Z Mean,head Z SD
1,153.438429208166,True,66.9924982460325,4.25076649816312,1.50658082962036,0,0.0161527693271637,0.005491114922684,0.00192922272253782,0.0064211058611236,0.0346058718860149,0.00925322791534055
1,52.6173877474161,True,22.138136577119,3.8253018776131,1.49244618415833,0,0.018992654979229,0.00278255008680422,0.0021236224565655,0.00205784021254529,0.00541833369061351,0.00531738467376752
1,159.304147089525,True,131.471453643929,4.91268977795456,1.5078626871109,0,0.00702745886519551,0.00938209057916086,-0.00434212293475866,0.00133560279966065,0.000690571439918131,0.00244466586836534
1,125.450915906591,True,397.216135399883,4.48423181505064,1.49132823944092,0,0.0127534391358495,0.00587091148541098,-0.00248109665699303,0.00123189488082945,-0.00154331582598388,0.00119275360060568
1,105.22084449678,True,120.422193010834,4.71057856228767,1.50435173511505,0,0.0101818991824985,0.00765240248161401,-0.00362423434853554,0.00147193393795657,-0.000970440334640443,0.00159280626550036
1,72.3904820834666,True,271.727291817901,4.07941939944846,1.50635266304016,0,0.0088677816092968,0.00209928105772147,-0.00499924086034298,0.000821114335481702,-0.000222213289816864,0.00113721739917864
1,3.94628031081852,True,42.497292253701,4.28902966056659,1.49902057647705,0,0.00594061799347401,0.00893349860700396,-0.00968220364302397,0.00633164062054639,0.00369812920689583,0.00740163827775443
1,27.9977753693034,True,193.559399763794,3.88069011529262,1.50025880336761,0,0.00318376766517758,0.00762724120824007,-0.00730153499171138,0.00400731394300475,-0.00047410957631655,0.00337979017231292
1,93.2470084566103,True,318.127695374893,4.66510196671902,1.49421918392181,0,0.00110237917397171,0.00299691973139312,-0.00366727751679718,0.00524819404455975,-0.000756420544348657,0.00356874278241435
1,47.3193588614401,True,16.0937065463255,4.39263633546333,1.49242675304413,0,-0.00657451106235385,0.00307591398089223,-0.00653463322669268,0.00225514116574211,-0.00302480394020677,0.00278309292390578
1,70.5424389495035,True,216.572297212089,3.60211355400006,1.49276757240295,0,-0.0102650616317987,0.00162777448178528,-0.0094609223306179,0.00238296278843643,-0.00221573351882398,0.00261815829121216
1,162.740710538647,True,307.477856201942,4.47420690349418,1.50002026557922,0,-0.0169452708214521,0.00396448104658443,-0.00200659362599254,0.0036772061181933,-0.0215345565229654,0.00824069948141313
1,238.448400533108,True,67.1690431639744,4.63742646283528,1.49127948284149,0,-0.0117572862654924,0.0012476539842391,-0.00354491150937974,0.00116334096255247,-0.022181348875165,0.00206405927820047
1,239.927975676705,True,31.2747225529562,3.96289992921945,1.50082278251648,0,-0.0136651396751404,0.000702743113022412,-0.00343624455854297,0.000725041270721445,-0.0230712331831455,0.0010129761577433
1,257.708879963973,True,189.015787568513,4.15761343775837,1.49732530117035,0,-0.0160680506378412,0.0083012801698793,-0.00504770036786795,0.00376807946334226,-0.0249528884887695,0.00513101631232578
1,340.042326194546,True,95.9097264362616,4.64146711952397,1.50443732738495,0,-0.0157655254006386,0.0037028479352829,-0.00291769695468247,0.000695658804981293,-0.0308004971593618,0.00127302053831213
1,275.973986487361,True,35.7755197914239,4.63516504646045,1.49928104877472,0,-0.0193724110722542,0.00124163148266278,-0.00444947043433785,0.000922331137954237,-0.0303972233086824,0.00149634919699932
