subject,difficulty,condition,date,sa,probabilityCorrect
AA2,1,anisometropia,2017-11-27_03-04-44-PM.csv,400,1.0
AA2,2,anisometropia,2017-11-27_03-04-44-PM.csv,400,1.0
AA2,3,anisometropia,2017-11-27_03-04-44-PM.csv,400,0.9375
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,800,1.0
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9795918367346939
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,600,0.9795918367346939
AA2,1,anisometropia,2017-11-28_04-55-42-PM.csv,400,0.975
AA2,2,anisometropia,2017-11-28_04-55-42-PM.csv,400,1.0
AA2,3,anisometropia,2017-11-28_04-55-42-PM.csv,400,1.0
AA2,1,anisometropia,2017-11-28_05-27-45-PM.csv,1000,1.0
AA2,2,anisometropia,2017-11-28_05-27-45-PM.csv,1000,1.0
AA2,3,anisometropia,2017-11-28_05-27-45-PM.csv,1000,1.0
AA2,1,anisometropia,2017-11-28_05-27-45-PM.csv,800,1.0
AA2,2,anisometropia,2017-11-28_05-27-45-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-11-28_05-27-45-PM.csv,800,1.0
AA2,1,anisometropia,2017-11-28_05-27-45-PM.csv,600,1.0
AA2,2,anisometropia,2017-11-28_05-27-45-PM.csv,600,1.0
AA2,3,anisometropia,2017-11-28_05-27-45-PM.csv,600,0.9795918367346939
AA2,1,anisometropia,2017-11-28_05-27-45-PM.csv,400,1.0
AA2,2,anisometropia,2017-11-28_05-27-45-PM.csv,400,0.9387755102040817
AA2,3,anisometropia,2017-11-28_05-27-45-PM.csv,400,0.972972972972973
AA2,1,anisometropia,2017-12-04_04-24-48-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-04_04-24-48-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-04_04-24-48-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-04_04-24-48-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-04_04-24-48-PM.csv,800,0.9795918367346939
AA2,3,anisometropia,2017-12-04_04-24-48-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-04_04-24-48-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-04_04-24-48-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-04_04-24-48-PM.csv,600,1.0
AA2,1,anisometropia,2017-12-04_04-24-48-PM.csv,400,1.0
AA2,2,anisometropia,2017-12-04_04-24-48-PM.csv,400,0.9607843137254902
AA2,3,anisometropia,2017-12-04_04-24-48-PM.csv,400,0.9142857142857143
AA2,1,anisometropia,2017-12-04_04-55-56-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-04_04-55-56-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-04_04-55-56-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-04_04-55-56-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-04_04-55-56-PM.csv,800,1.0
AA2,3,anisometropia,2017-12-04_04-55-56-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-04_04-55-56-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-04_04-55-56-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-12-04_04-55-56-PM.csv,600,0.9896907216494846
AA2,1,anisometropia,2017-12-04_04-55-56-PM.csv,400,0.9777777777777777
AA2,2,anisometropia,2017-12-04_04-55-56-PM.csv,400,0.9761904761904762
AA2,3,anisometropia,2017-12-04_04-55-56-PM.csv,400,1.0
AA2,1,anisometropia,2017-12-05_02-32-05-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-05_02-32-05-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-05_02-32-05-PM.csv,1000,0.9896907216494846
AA2,1,anisometropia,2017-12-05_02-32-05-PM.csv,800,0.9896907216494846
AA2,2,anisometropia,2017-12-05_02-32-05-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-12-05_02-32-05-PM.csv,800,0.9896907216494846
AA2,1,anisometropia,2017-12-05_02-32-05-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-05_02-32-05-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-05_02-32-05-PM.csv,600,1.0
AA2,1,anisometropia,2017-12-05_02-32-05-PM.csv,400,0.9824561403508771
AA2,2,anisometropia,2017-12-05_02-32-05-PM.csv,400,0.9183673469387755
AA2,3,anisometropia,2017-12-05_02-32-05-PM.csv,400,0.9795918367346939
AA2,1,anisometropia,2017-12-05_03-01-50-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-05_03-01-50-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-05_03-01-50-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-05_03-01-50-PM.csv,800,0.9896907216494846
AA2,2,anisometropia,2017-12-05_03-01-50-PM.csv,800,0.9696969696969697
AA2,3,anisometropia,2017-12-05_03-01-50-PM.csv,800,0.9896907216494846
AA2,1,anisometropia,2017-12-05_03-01-50-PM.csv,600,0.9896907216494846
AA2,2,anisometropia,2017-12-05_03-01-50-PM.csv,600,0.9896907216494846
AA2,3,anisometropia,2017-12-05_03-01-50-PM.csv,600,0.9896907216494846
AA2,1,anisometropia,2017-12-05_03-01-50-PM.csv,400,1.0
AA2,2,anisometropia,2017-12-05_03-01-50-PM.csv,400,0.9655172413793104
AA2,3,anisometropia,2017-12-05_03-01-50-PM.csv,400,0.9791666666666666
AA2,1,anisometropia,2017-12-06_04-36-43-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-06_04-36-43-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-06_04-36-43-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-06_04-36-43-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-06_04-36-43-PM.csv,800,1.0
AA2,3,anisometropia,2017-12-06_04-36-43-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-06_04-36-43-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-06_04-36-43-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-06_04-36-43-PM.csv,600,1.0
AA2,1,anisometropia,2017-12-06_04-36-43-PM.csv,400,0.9836065573770492
AA2,2,anisometropia,2017-12-06_04-36-43-PM.csv,400,0.9473684210526315
AA2,3,anisometropia,2017-12-06_04-36-43-PM.csv,400,0.9565217391304348
AA2,1,anisometropia,2017-12-06_05-07-21-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-06_05-07-21-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-06_05-07-21-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-06_05-07-21-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-06_05-07-21-PM.csv,800,1.0
AA2,3,anisometropia,2017-12-06_05-07-21-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-06_05-07-21-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-06_05-07-21-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-06_05-07-21-PM.csv,600,1.0
AA2,1,anisometropia,2017-12-06_05-07-21-PM.csv,400,0.9830508474576272
AA2,2,anisometropia,2017-12-06_05-07-21-PM.csv,400,0.9636363636363636
AA2,3,anisometropia,2017-12-06_05-07-21-PM.csv,400,0.9649122807017544
AA2,1,anisometropia,2017-12-07_04-24-50-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-07_04-24-50-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-07_04-24-50-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-07_04-24-50-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-07_04-24-50-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-12-07_04-24-50-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-07_04-24-50-PM.csv,600,1.0
AA2,2,anisometropia,2017-12-07_04-24-50-PM.csv,600,1.0
AA2,3,anisometropia,2017-12-07_04-24-50-PM.csv,600,0.9795918367346939
AA2,1,anisometropia,2017-12-07_04-24-50-PM.csv,400,0.98
AA2,2,anisometropia,2017-12-07_04-24-50-PM.csv,400,0.9361702127659575
AA2,3,anisometropia,2017-12-07_04-24-50-PM.csv,400,0.9787234042553191
AA2,1,anisometropia,2017-12-07_04-54-28-PM.csv,1000,1.0
AA2,2,anisometropia,2017-12-07_04-54-28-PM.csv,1000,1.0
AA2,3,anisometropia,2017-12-07_04-54-28-PM.csv,1000,1.0
AA2,1,anisometropia,2017-12-07_04-54-28-PM.csv,800,1.0
AA2,2,anisometropia,2017-12-07_04-54-28-PM.csv,800,0.9896907216494846
AA2,3,anisometropia,2017-12-07_04-54-28-PM.csv,800,1.0
AA2,1,anisometropia,2017-12-07_04-54-28-PM.csv,600,1.0
