subject,date,difficulty,saMedian,saVar,saLog,saLogVar
aj,2017-07-27_12-26-57-PM.csv,1,246.50853448121848,61855.83441746103,2.391831959775263,0.10091853199771486
aj,2017-07-27_12-26-57-PM.csv,2,276.5259043466595,67130.50587143413,2.4417358213110676,0.12002886152095958
aj,2017-07-27_12-26-57-PM.csv,3,220.2100459364775,32001.519451497203,2.3428371275115687,0.0739686772472065
aj,2017-07-27_12-54-48-PM.csv,1,243.189716809039,36354.08993092324,2.38594520700074,0.09373981750852632
aj,2017-07-27_12-54-48-PM.csv,2,263.90678598057,38486.02841904345,2.421450557616886,0.08034230364433495
aj,2017-07-27_12-54-48-PM.csv,3,267.776708597487,34407.493553906526,2.4277727990856484,0.07218224675166476
aj,2017-07-28_11-25-50-AM.csv,1,200.10653758283053,39605.795899121804,2.301261277490625,0.08888168336147882
aj,2017-07-28_11-25-50-AM.csv,2,298.093015272905,28342.980631388,2.4743518000380873,0.04882794974548794
aj,2017-07-28_11-25-50-AM.csv,3,275.2557607355445,31107.1670703085,2.4397364169425297,0.07494402498535971
aj,2017-07-28_11-53-40-AM.csv,1,203.441212912476,47377.54038648282,2.308438936430458,0.09560406488367906
aj,2017-07-28_11-53-40-AM.csv,2,176.5951434379145,45814.474072918405,2.246978755826392,0.10348889326935859
aj,2017-07-28_11-53-40-AM.csv,3,286.860962142303,35327.11299306069,2.4576714507216706,0.09880558642463926
aj,2017-10-02_01-23-27-PM.csv,1,253.17400069450002,40587.64564206296,2.4034191044469524,0.09860951578371888
aj,2017-10-02_01-23-27-PM.csv,2,261.94651043445,40022.4801674238,2.418212617293768,0.11094736255571228
aj,2017-10-02_01-23-27-PM.csv,3,212.331135388008,47104.58483471557,2.3270136820404907,0.11570901058455783
aj,2017-10-02_01-50-59-PM.csv,1,171.447718909883,29547.834826556067,2.234131711256499,0.07657134738231698
aj,2017-10-02_01-50-59-PM.csv,2,198.042723383745,54337.06497784101,2.296758889899399,0.1167056804588293
aj,2017-10-02_01-50-59-PM.csv,3,180.0849015438745,22008.956203655747,2.2554773027637185,0.0637575277300071
aj,2017-10-04_09-24-46-AM.csv,1,190.99078736421853,28709.15651630974,2.2810124191148575,0.08997611227274122
aj,2017-10-04_09-24-46-AM.csv,2,312.388264211436,51210.80456635223,2.49469470995574,0.0774021484892162
aj,2017-10-04_09-24-46-AM.csv,3,212.82274753534,26324.187264774395,2.3280180456206208,0.08277393921630898
aj,2017-10-04_09-52-18-AM.csv,1,219.838387389625,21983.79428296619,2.3421035296518546,0.0794117136576583
