Difficulty,SA[seconds] dart location,hit,SA[seconds] dartboard hit,gapAngle[degrees],distance[m],dichoptic errors,head Hor Mean,head Hor SD,head Ver Mean,head Ver SD,head Z Mean,head Z SD
1,33.2778688115773,True,375.493845256314,4.33740162612244,1.50162196159363,0,0.0335160419344902,0.0112019788421843,0.00852960534393787,0.00756540242449009,-0.0186713822185993,0.00856599310715678
1,199.855334141804,True,391.809350219381,4.66927077179488,1.50873303413391,0,0.0242090411484241,0.0235897065532824,0.0128615573048592,0.00364661419279415,-0.048119630664587,0.0127565000542059
1,247.623473193226,True,584.637590354395,4.23700667240179,1.49356842041016,0,0.0286464840173721,0.0129379597199121,0.0146065047010779,0.00574124023680265,-0.0503839887678623,0.00983400372335559
1,313.946296976199,True,515.991650869137,4.68199318091658,1.50204885005951,0,0.0254238378256559,0.0110310829231084,0.0169278606772423,0.00247048786155686,-0.0514183379709721,0.00497977452980324
1,284.525845743318,True,357.249428027998,4.34059758435691,1.49177753925323,0,0.0180842839181423,0.00234165255916022,0.0151685765013099,0.00460993722569955,-0.0466882809996605,0.00700576338346869
1,231.209844304571,True,358.610917939194,3.82784775718547,1.50044345855713,0,0.0125381220132113,0.00544905358508564,0.0104451589286327,0.00657892025790965,-0.042822502553463,0.00786540183909512
1,226.942933930508,True,432.740927998008,4.18583911543946,1.50627076625824,0,0.0127668483182788,0.0102409580500614,0.0067859492264688,0.0074131990984153,-0.0406195260584354,0.00982236999159179
1,280.24245803377,True,2.26932585581856,2.9485464369366,1.4953396320343,0,0.0134234158322215,0.00401121911395577,0.00569567736238241,0.00410187726080751,-0.04259242862463,0.0037565149552184
1,251.58920932574,True,451.987833688628,4.79722049192322,1.50027883052826,0,0.0237591285258532,0.0158267605279051,0.0128259332850575,0.00638964002933091,-0.048069640994072,0.0080018061003633
1,347.709118311187,True,690.095221460185,4.47931867693173,1.50459265708923,0,0.0395421534776688,0.00817530034655348,0.0137704974040389,0.00299753447136699,-0.0486798994243145,0.00578402806006756
1,236.203213598399,True,583.777280662947,4.10254668430487,1.5003274679184,0,0.0226857792586088,0.00860980134660364,0.00796059798449278,0.00629659228183577,-0.0411514155566692,0.00712871753150262
1,303.550481946463,True,594.560167960584,4.13311165692993,1.50291240215302,0,0.0283188968896866,0.00457121750681488,0.00996087025851011,0.00273558673725456,-0.0439525730907917,0.00493036131183885
1,229.403638159643,True,350.725907484651,3.40058746663297,1.50782525539398,0,0.0291300807148218,0.0120527833106075,0.00852156616747379,0.0075928439493269,-0.0450375117361546,0.00930045973513912
1,235.943848616303,True,497.049985010266,4.22006483415411,1.5056220293045,0,0.0196173004806042,0.0140236382064458,0.00427184160798788,0.00744547920235899,-0.0383261442184448,0.00887267523289915
1,260.830004300749,False,0,26.7704774455879,1.50139796733856,0,0.00452127400785685,0.000288861505649279,-0.0039309156127274,0.000149989777378567,-0.0334783755242825,7.15487544042625E-05
1,358.877297669717,True,411.991580745374,3.70521842717784,1.5031635761261,0,0.0418399684131145,0.0137220678051137,0.0163355935364962,0.00433019242250094,-0.0542622283101082,0.00700981320896307
1,348.804905169354,True,937.539199600548,4.93868295033654,1.50147306919098,0,0.0138616617769003,0.014394384633674,0.0137024242430925,0.00487347530068593,-0.0421040989458561,0.00726790281333412
1,207.504763931733,True,140.495683088556,4.86086106377686,1.49873864650726,0,0.0137322768568993,0.00396249844203101,-0.000187169862329029,0.00508995298500596,-0.0417073592543602,0.00775149402353423
1,283.960523060391,True,385.258324204048,4.19430098877079,1.49930965900421,0,0.0240316223353148,0.0115710919151239,0.00401699589565396,0.00420901224274804,-0.0379346050322056,0.00451377177637105
1,236.424336228181,True,264.09724562014,4.39929000021407,1.49175715446472,0,0.0163544546812773,0.0154464144200865,-0.000702094577718526,0.00915694577161516,-0.0410496108233929,0.00998233258329972
1,399.672620285434,True,79.7920009138732,3.10530127761794,1.4920049905777,0,0.0285650212317705,0.00646204289616742,0.00492364121600986,0.00318973961623727,-0.0449571423232555,0.0039416517645619
1,272.319571486171,True,332.456786134738,4.21026597831721,1.48462867736816,0,0.0232728403061628,0.00443923405794572,0.00110746268182993,0.00227772417244246,-0.041661012917757,0.00353307638439353
1,254.121829541309,True,205.251953646393,3.7869480936052,1.55252039432526,0,0.0208705179393291,0.0065716844317426,0.000174657630850561,0.00504643639998974,-0.0451311431825161,0.00629999297011005
1,209.105188226191,True,461.810401275372,4.85536174559929,1.53097200393677,0,0.0277078170329332,0.0113558275004962,-0.00497798155993223,0.00569551411478869,-0.048042293637991,0.00876762011552282
1,353.456364338719,True,328.52094810643,3.53792254495787,1.4729129076004,0,0.0242243018001318,0.0125117392802563,-0.00259788427501917,0.0034788525661763,-0.0622651688754559,0.00415464372599349
1,373.722224902784,True,52.0698466596632,3.11496711971871,1.4519202709198,0,0.0150908539071679,0.00597654608032176,-0.00767518440261483,0.00536531174905473,-0.0614979788661003,0.00454417936610267
1,363.806375679153,True,371.491125210698,3.23158584434895,1.5052946805954,0,0.00768907181918621,0.00692826513397354,-0.0112079316750169,0.00622000024059062,-0.0603235587477684,0.00400569862275821
1,413.47993858593,True,398.589903503549,4.34955195209725,1.52215015888214,0,0.00781700573861599,0.0104234909325327,-0.00966050662100315,0.0016530248015724,-0.0629196390509605,0.00289767161600951
1,299.857531907622,True,126.63445253891,4.43388613860758,1.53636908531189,0,0.000887568690814078,0.010793496965535,-0.0169633198529482,0.00551340241618058,-0.0556244589388371,0.00551203584524385
1,539.498618414122,True,164.729463655178,5.14644229154502,1.44299221038818,0,0.0208235885947943,0.0161392352996667,-0.0033943853341043,0.00377169431152143,-0.0787474364042282,0.00835737421004968
1,307.810063765822,True,424.767387222356,4.75604710835537,1.55850839614868,0,0.0226600784808397,0.0190084665835552,-0.00461779674515128,0.00572331650634856,-0.0805009379982948,0.0138684755097058
1,354.906080644583,True,21.2012001610582,4.56532937295319,1.52815353870392,0,-0.00860894285142422,0.00674444528160713,-0.00772224366664886,0.00411331626873252,-0.0665028765797615,0.0042325690739508
1,365.033693711398,True,12.9405748916574,4.78781707907179,1.52633166313171,0,-0.00130654301028699,0.00807454172091162,-0.00567569257691503,0.0046210559742176,-0.0693346858024597,0.00535640156548037
1,526.83410949253,True,425.177853496224,4.47264459630104,1.48262643814087,0,0.0140593182295561,0.0115748638761178,-0.00364641938358545,0.00331464784611975,-0.0730364173650742,0.00634054100543855
1,508.720349241974,True,221.754949408448,4.92948302822134,1.46699988842011,0,0.00325047364458442,0.00228778255315466,-0.0014811703003943,0.0047142144814333,-0.0756692439317703,0.0058359261762379
1,444.266679218931,True,241.92875479017,3.73053760408265,1.51088988780975,0,0.00629353802651167,0.0269409559881631,-0.00540870567783713,0.00221537024902007,-0.0762238875031471,0.00828718319042145
1,533.661246824166,True,578.746441159739,4.25250859024528,1.43819677829742,0,0.00624534394592047,0.0154069986987225,-0.00725886737927794,0.00868950367452582,-0.0855266973376274,0.0125249108840981
1,360.78748065273,True,51.6086018422507,3.35010415678021,1.49670028686523,1,0.0200922545045614,0.00395127567523945,-0.0278636701405048,0.00224618090589888,-0.0628290697932243,0.00363478690122952
1,398.166486357611,True,395.626838760442,4.09396006075021,1.45256114006042,0,0.0171953029930592,0.0151897109049807,-0.030976939946413,0.00188082309112925,-0.0533510036766529,0.00426628886287718
1,316.960053827373,True,385.581440597183,3.26142836737745,1.45594751834869,0,0.0161937829107046,0.00107692371560063,-0.0297479275614023,0.0019525568431735,-0.0541447140276432,0.00239410949227611
1,275.542495683535,True,110.078518805625,3.68945563462349,1.49462592601776,0,0.00647341040894389,0.0082051872290718,-0.0361148081719875,0.00341023620420156,-0.0537046976387501,0.00376680410964668
1,451.539207081507,True,399.433349181433,3.27311279183412,1.53001511096954,0,0.0214103758335114,0.0188446729782997,-0.0320953018963337,0.00193332035218131,-0.0616512894630432,0.00399178105286067
1,470.0102939415,True,50.2636558076024,5.02119009915145,1.42838513851166,0,0.0197963714599609,0.00263563270416113,-0.0327366814017296,0.00116554978709657,-0.0590952150523663,0.00146620505357229
1,428.594626064499,True,526.447554146157,4.71158468716271,1.57367014884949,0,0.0117001598700881,0.0143484026921996,-0.0312321651726961,0.00791855762716799,-0.0667121857404709,0.00847238229003098
1,459.150319074709,True,374.264780590292,3.29930802520703,1.57231545448303,0,0.0239228326827288,0.0168767515978519,-0.0274118147790432,0.0035099365927031,-0.0740105956792831,0.00448875673103199
1,391.785724054295,True,242.499077122639,3.82973120138125,1.35790908336639,0,0.0249489899724722,0.0138549525619291,-0.0323601923882961,0.00569966130722001,-0.0707345902919769,0.00849515979642204
1,474.557869740232,True,417.466031645119,3.35460449524444,1.38590490818024,0,0.0295220576226711,0.0138824560131162,-0.0310122799128294,0.0072623430469535,-0.0734259262681007,0.00855408230257022
1,287.652395717312,True,39.1623975466985,3.30515321991175,1.66022038459778,0,0.0183126758784056,0.00655262667685755,-0.0331959612667561,0.00704170052784563,-0.0687524080276489,0.00922276640913757
2,392.656584851306,True,521.986390358404,4.14514609539815,1.5070184469223,0,0.0173425674438477,0.0123768981981128,-0.0265121199190617,0.00335746319430018,-0.0768442004919052,0.00571087960095553
2,434.681092317363,True,239.624666954766,3.47533497793991,1.49086856842041,0,0.0161498580127954,0.00935429266245144,-0.027743024751544,0.00627244164818496,-0.0664448961615562,0.0104096156988129
2,440.845397155973,True,103.315504169462,4.19718973006299,1.50893998146057,0,0.0298943519592285,0.0155764153618373,-0.215335920453072,0.032582956913326,-0.0830107629299164,0.00641793724484402
2,323.172354216178,True,54.4452525721321,3.35240665244148,1.50583851337433,0,0.0272272173315287,0.0110460428322899,-0.217817142605782,0.00553890256280819,-0.0876737982034683,0.00879007641726715
2,423.127680455142,True,112.025040971834,3.53890678280665,1.5029559135437,0,0.0216602925211191,0.0137278683702299,-0.212787836790085,0.0047297389633315,-0.0773177519440651,0.00947549733974611
2,504.516963052995,True,205.597198773033,3.90057935344476,1.50292336940765,1,0.0279763508588076,0.0505844837391121,-0.167807847261429,0.0330759365470156,0.101966381072998,0.0967279942366251
2,413.242820082998,True,170.758661173257,3.516384878307,1.49331605434418,0,0.0697671473026276,0.0263972420093845,-0.181441128253937,0.00268771875460924,-0.0299566332250834,0.00956678827997236
2,286.806417239041,True,62.7556417509508,3.936169165955,1.50493824481964,0,0.0687841027975082,0.0125807734098697,-0.179205521941185,0.00301350428540411,-0.0401052534580231,0.00721467375116392
2,430.279160592282,True,259.657219140747,5.30425956779558,1.50412428379059,0,0.0847677811980248,0.00943398958492175,-0.179060563445091,0.00339989021319352,-0.0403668805956841,0.00439690662526751
2,268.083147750169,True,102.803494312164,4.30706563432858,1.50800800323486,0,0.0736733078956604,0.0147628255539321,-0.180011108517647,0.00356090414368009,-0.0369419120252132,0.00412984390564902
2,350.209868307242,True,597.491567393954,4.45483931718591,1.50783705711365,0,0.0858838483691216,0.0124133244089009,-0.182940825819969,0.00281061462627864,-0.0393507778644562,0.00634546641879947
2,316.545096234654,True,287.73910955784,4.27685867903559,1.50812792778015,0,0.0855735689401627,0.00578508745419755,-0.182401522994041,0.00380011838265919,-0.0381679497659206,0.00475842369450383
2,315.909416849785,True,71.4502977167184,4.72092423344472,1.49442911148071,0,0.0834728851914406,0.00839132093516373,-0.185097888112068,0.00164032311161573,-0.0346743352711201,0.00248599760323637
2,155.262077468336,True,163.296560308118,4.9726256416323,1.5083601474762,0,0.0811326950788498,0.0121201549133088,-0.189053699374199,0.00427162531654924,-0.030747527256608,0.00469821925702936
2,260.336754792978,True,362.722029333257,2.99462438352644,1.50794243812561,0,0.0908493176102638,0.0147097974860355,-0.186277583241463,0.0041160745659957,-0.0296279825270176,0.00616885907464178
2,108.689121911274,True,46.8288271679994,4.59980621264381,1.49478375911713,0,0.0824768990278244,0.0127469899006713,-0.187618419528008,0.00681255612181736,-0.0254133623093367,0.00595027967743788
2,346.526912456272,True,147.92900706253,4.11527523947479,1.50712180137634,0,0.0915349051356316,0.00628964880282973,-0.179831475019455,0.00176252585159597,-0.0422605611383915,0.00432497708844017
2,417.579629758465,True,258.22384937009,2.75788179224398,1.49597299098969,0,0.0783369839191437,0.0131370279237268,-0.183772355318069,0.00597957683381017,-0.0361293219029903,0.00836000026526933
2,442.487823477607,True,385.045205509259,5.81208575116332,1.50073659420013,1,0.0856379419565201,0.0211262168437785,-0.176619619131088,0.00731577203031943,-0.0369044244289398,0.00779210442272517
2,111.215595667751,True,335.974955758322,4.14007664680432,1.50806558132172,0,0.0982344746589661,0.0189793415190694,-0.175233289599419,0.0063808949682428,-0.0367149412631989,0.00973381170181196
2,234.967555317002,True,270.143601298977,3.74619245806242,1.50343704223633,0,0.107463635504246,0.0237512885642299,-0.174102306365967,0.00211494979172842,-0.0239071976393461,0.00589631920829367
2,140.677746275568,True,163.786224840708,4.35233625083993,1.5112190246582,0,0.114285960793495,0.011901984197436,-0.171691656112671,0.00460100596993787,-0.0202537123113871,0.00641831320214311
2,66.4124348027494,True,256.033681960347,4.13767288155084,1.49622166156769,0,0.0963351055979729,0.0201685503025486,-0.182065948843956,0.0065934395740719,-0.0160468555986881,0.00585569495014604
2,290.096772592229,True,367.807600039201,5.4000103966865,1.46838557720184,0,0.117768310010433,0.00863656765187998,-0.167573437094688,0.00408711650601461,-0.0244000740349293,0.00536334263175141
2,327.014050377991,True,466.950195065927,4.86118274176341,1.53044807910919,0,0.11511442810297,0.0175392886239766,-0.170940831303597,0.00234923475059691,-0.0247622542083263,0.00379016533769354
2,105.59724421683,True,327.004623590793,4.49137283669324,1.43549478054047,0,0.101379252970219,0.0191723714875581,-0.185287997126579,0.00560463204182445,-0.0205354392528534,0.00551688682192434
