Difficulty,SA[seconds] dart location,hit,SA[seconds] dartboard hit,gapAngle[degrees],distance[m],dichoptic errors,head Hor Mean,head Hor SD,head Ver Mean,head Ver SD,head Z Mean,head Z SD
1,262.039945240383,True,141.745448839175,4.14863384991295,1.50621199607849,0,0.00202685361728072,0.00886716299794163,-9.45236897678114E-05,0.00223118746636222,-0.00791504699736834,0.00288784777919709
1,289.971662589424,True,791.317937455614,3.1126962361531,1.4996018409729,0,0.0115923117846251,0.00204747328735429,-0.000896219164133072,0.00079775778717484,-0.0121244704350829,0.00259497583153275
1,207.903031735971,True,730.935433277146,4.62257919463248,1.49641346931458,0,0.00841948483139277,0.0082151476970322,0.00135247223079205,0.0013187069892231,-0.0113389557227492,0.00159992847997472
1,81.5202990513026,True,721.337684789408,4.28211204043712,1.49712228775024,0,0.00380215677432716,0.0036029698935439,0.00267050275579095,0.00491586060898123,-0.0131742479279637,0.00632216826592558
1,58.9581261075362,True,460.193002370956,4.77709370736793,1.49436891078949,0,0.00471535976976156,0.00370619713508718,0.00131162907928228,0.0055794845845533,-0.00716412346810102,0.00599828229360921
1,75.5687983525479,True,375.186072607014,2.93027993037732,1.50782525539398,0,0.00226163887418807,0.00479342617790444,5.92311298532877E-05,0.00298269655683387,-0.00584370642900467,0.00456603183670637
1,247.935304667993,True,592.448059019747,4.04962564274441,1.49135065078735,0,-0.00109270005486906,0.00971414956272198,0.000606274290475994,0.00247052678681491,-0.0108971567824483,0.00148160660100392
1,109.606118516473,True,461.119180273529,3.53872398743163,1.49398803710938,0,0.00519845122471452,0.00983737666993207,0.000502679555211216,0.00598739922876769,-0.0134480250999331,0.00596150955094749
1,175.888950824495,True,655.682782122396,4.92521706427476,1.50642800331116,0,-0.000219471199670807,0.00356481973752205,0.00147380656562746,0.00355176134209364,-0.0203768387436867,0.00394429506692437
1,190.199103596945,True,165.379861300839,3.72810173375555,1.50266015529633,0,4.54045366495848E-05,0.00473880934268457,-0.00121846806723624,0.00326755586455135,-0.0242570452392101,0.00470542744464116
1,365.843060616511,True,390.7730062098,3.07629550266868,1.49243497848511,0,0.00633733021095395,0.00386576027343632,-0.000814790546428412,0.00315274718394854,-0.0233455933630466,0.00671329683497476
1,336.210574995259,True,341.408905158612,3.4463195426186,1.49536144733429,0,0.00395599193871021,0.00298302366167386,-0.00190372637007385,0.00312702977757976,-0.0268877409398556,0.00242542436428525
1,252.654222586364,True,372.564731759905,4.22348904452054,1.5077269077301,0,-0.00333895580843091,0.0172504323122292,-0.00172636238858104,0.00489614090199973,-0.0236510541290045,0.0057269019583167
